"","municipio","cod_municipio","uf","area_km2","desmatado","incremento","floresta","nuvem","nao_observado","nao_floresta","hidrografia","soma","ano"
"1","Zé Doca",2114007,"MA",2438,1878,3.3,558,1.7,0.3,0,0,100,2003
"2","Xinguara",1508407,"PA",3793,3218.2,2.9,557.2,0,0,0,17.6,99,2003
"3","Xapuri",1200708,"AC",5511,1100.4,33.6,4409.8,0,0.8,0,0,100,2003
"4","Xambioá",1722107,"TO",1191,944,6.9,205.8,0,0.1,11,30.1,100,2003
"5","Wanderlândia",1722081,"TO",1382,294.6,10.2,166.6,0,0,920.8,0,100,2003
"6","Vitorino Freire",2113009,"MA",1209,1166.3,0,0,0,0,43.3,0,100,2003
"7","Vitória do Xingu",1508357,"PA",3136,1664.8,156.1,1321.7,0,0,0.1,149.4,100,2003
"8","Vitória do Mearim",2112902,"MA",736,229.6,1.6,31.4,0,0.2,464.9,9.9,100,2003
"9","Vitória do Jari",1600808,"AP",2481,183.7,7.6,1787.1,0,0.8,379.8,129.6,99,2003
"10","Viseu",1508308,"PA",4971,3316.5,79.6,1519,2.1,0.7,45.4,87.3,100,2003
"11","Vilhena",1100304,"RO",11584,1478.1,92,8414.7,0,3.9,1685.8,1.5,99,2003
"12","Vila Rica",5108600,"MT",7443,3871.4,317.2,3374.9,0,0,186.8,9.9,99,2003
"13","Vila Nova dos Martírios",2112852,"MA",1196,945.1,2.1,108.5,0,1.4,131.8,9.2,100,2003
"14","Vila Bela da Santíssima Trindade",5105507,"MT",13521,4294.2,149.9,2543.8,0,19.6,6590.5,72.9,99,2003
"15","Vigia",1508209,"PA",536,207.5,14,0,0,329.9,16.4,161.4,133,2003
"16","Viana",2112803,"MA",1176,487.4,1.9,111.2,0,0,382.3,195.1,100,2003
"17","Vera",5108501,"MT",2952,1707.4,143,1225.3,0,1.4,17.8,0.1,99,2003
"18","Várzea Grande",5108402,"MT",939,0,0,0,0,1.4,937.7,0,100,2003
"19","Vale do Paraíso",1101807,"RO",974,856.5,17.9,113.3,0,0,3.5,0.7,99,2003
"20","Vale do Anari",1101757,"RO",3166,1015.3,92.8,2120.4,0,0,11.3,19,99,2003
"21","Vale de São Domingos",5108352,"MT",1913,585.6,2.8,516.1,0,0.2,811.1,0,100,2003
"22","Urupá",1101708,"RO",841,667.1,10.8,76.2,0,0,97.7,0,100,2003
"23","Urucurituba",1304401,"AM",2915,91.9,2.4,133.1,0,0,1689.6,1000.4,100,2003
"24","Urucará",1304302,"AM",28012,324.1,6.5,26617.6,0,0.9,423,646.4,100,2003
"25","Uruará",1508159,"PA",10794,2302.2,792.6,8487.8,0,3.8,0,0.2,100,2003
"26","União do Sul",5108303,"MT",4583,677.3,95.1,3880.9,0,2.1,22.7,0,100,2003
"27","Ulianópolis",1508126,"PA",5122,2766,19.5,2355.8,0,0.2,0,0,99,2003
"28","Uiramutã",1400704,"RR",8117,19.2,0,2124.3,28.5,52.8,5884.1,8.1,99,2003
"29","Uarini",1304260,"AM",10448,221.9,3.2,9693.9,0,0,100.4,431.8,99,2003
"30","Turilândia",2112456,"MA",1529,1132.4,16.9,200.4,0,0.1,135.6,60.5,100,2003
"31","Turiaçu",2112407,"MA",2603,1883.5,21.8,594.9,8.6,1.3,48,66.7,99,2003
"32","Tupiratins",1721307,"TO",900,0.5,0.3,8.5,0,0,883.1,7.9,100,2003
"33","Tupirama",1721257,"TO",715,0,0,0,0,0,709.8,5.7,100,2003
"34","Tuntum",2112308,"MA",3619,1069.7,51.7,571.6,0,0.2,1933.7,43.8,100,2003
"35","Tufilândia",2112274,"MA",274,249,0,0,0,0,25,0,100,2003
"36","Tucuruí",1508100,"PA",2095,618.9,19.6,993.3,0,0,4.7,478.1,99,2003
"37","Tucumã",1508084,"PA",2513,2206.7,28.3,298.2,0,0.5,0,7.6,100,2003
"38","Trizidela do Vale",2112233,"MA",225,152.8,0,0,0,72.5,0,0,100,2003
"39","Trairão",1508050,"PA",11997,737.1,54.3,11156.6,0,0.2,1.1,102,99,2003
"40","Tracuateua",1508035,"PA",858,456,2.3,173.9,0,18.5,188.8,20.8,100,2003
"41","Torixoréu",5108204,"MT",2397,0,0,0,0,3.3,2394.2,1.1,100,2003
"42","Tonantins",1304237,"AM",6619,76.4,2.3,6157.9,0,1.6,67.4,315.7,99,2003
"43","Tomé-Açu",1508001,"PA",5169,2690.9,27.6,2324.9,0,152.7,0.1,0.4,100,2003
"44","Tocantinópolis",1721208,"TO",1085,292.1,0.1,144,0,0,624,24.9,99,2003
"45","Tocantínia",1721109,"TO",2619,0,0,0,0,0.3,2600.5,18.8,100,2003
"46","Theobroma",1101609,"RO",2217,1663.9,52.5,552.7,0,0,0,0.4,99,2003
"47","Tesouro",5108105,"MT",3944,0,0,0,0,5.1,3938.9,1.1,100,2003
"48","Terra Santa",1507979,"PA",1900,312.5,7.5,809.8,0,0.2,388.1,389.4,100,2003
"49","Terra Nova do Norte",5108055,"MT",2551,1978,45.4,568.4,0,0,4.6,0,100,2003
"50","Terra Alta",1507961,"PA",209,163.9,10.7,0.4,0,44.7,0,0,100,2003
"51","Teixeirópolis",1101559,"RO",464,435.1,4.9,28.9,0,0,0,0,100,2003
"52","Tefé",1304203,"AM",24186,592.5,15.4,22698.1,0,1.8,168.9,724.7,100,2003
"53","Tasso Fragoso",2112001,"MA",4426,0,0,27.1,0,0,4398.9,0,100,2003
"54","Tartarugalzinho",1600709,"AP",6718,232.8,78.2,3053.3,0,16.5,3226.1,189.3,100,2003
"55","Tarauacá",1200609,"AC",21156,1264,61.6,19875.3,0,1.9,1.2,13.6,100,2003
"56","Tapurah",5108006,"MT",4491,1637,149.7,2163.3,0,0,680.6,10.1,99,2003
"57","Tapauá",1304104,"AM",90962,286.7,8.3,87010.9,0,1.9,2161.1,1501.4,100,2003
"58","Tangará da Serra",5107958,"MT",11333,2153.9,61.2,665.4,0,0,8512.8,0.9,100,2003
"59","Talismã",1720978,"TO",2162,0,0,0,0,2161,2158.4,0,199,2003
"60","Taipas do Tocantins",1720937,"TO",1123,0,0,0,0,1123.4,1123.5,0,200,2003
"61","Tailândia",1507953,"PA",4451,1706.6,65.4,2744.4,0,0,0,0,100,2003
"62","Taguatinga",1720903,"TO",2458,0,0,0,0,2457.9,2452.3,0,199,2003
"63","Tabatinga",1304062,"AM",3343,149.4,2.9,3110.7,0,29.6,1.3,52,100,2003
"64","Tabaporã",5107941,"MT",8231,1921.5,237.2,4062.5,0,0.7,2240.1,6.2,100,2003
"65","Sucupira do Norte",2111904,"MA",1087,0,0,0,0,461,1087.8,0,142,2003
"66","Sucupira",1720853,"TO",1030,0,0,0,0,1031.4,1030.8,0,200,2003
"67","Soure",1507904,"PA",3528,32.6,0.5,0,0,475.9,2502.9,730.9,106,2003
"68","Sorriso",5107925,"MT",9349,3818.3,132.7,1410.9,0,0.7,4119.1,0,100,2003
"69","Sítio Novo do Tocantins",1720804,"TO",325,289,0.4,36,0,0,0,0,100,2003
"70","Sítio Novo",2111805,"MA",3141,55.9,0.9,0,0,869.1,3063.1,0,126,2003
"71","Sinop",5107909,"MT",3935,2159.5,139.4,1620.8,0,0,136.3,18.4,99,2003
"72","Silves",1304005,"AM",3758,409.4,5.5,2621.2,0,0,128.7,598.7,99,2003
"73","Silvanópolis",1720655,"TO",1268,0,0,0,0,1262.6,1268.6,0,199,2003
"74","Serrano do Maranhão",2111789,"MA",1221,1100.3,8.7,104.3,0.2,0.2,2.3,13.7,100,2003
"75","Serra Nova Dourada",5107883,"MT",1491,264.2,1.9,264.1,0,0,962.7,0,100,2003
"76","Serra do Navio",1600055,"AP",7762,63.7,0.1,7687.8,0.7,0.7,0,9.1,100,2003
"77","Seringueiras",1101500,"RO",3821,992.3,59.5,2133.7,0,0,695,0,100,2003
"78","Senador La Rocque",2111763,"MA",1247,1092,0,155,0,0,0,0,100,2003
"79","Senador José Porfírio",1507805,"PA",14389,395.5,96.7,13521,0,0.3,84.9,387.3,100,2003
"80","Senador Guiomard",1200450,"AC",2384,1545.9,43.5,838.1,0,0,0,0,100,2003
"81","Sena Madureira",1200500,"AC",24599,1344.7,157.6,23235.5,0,15.8,2.4,0.6,100,2003
"82","Satubinha",2111722,"MA",447,356.2,0,0,0,0,86.7,4.4,100,2003
"83","Sapucaia",1507755,"PA",1300,1142.2,0.5,157.8,0,0,0,0,100,2003
"84","Sapezal",5107875,"MT",13636,135.5,37.5,2898.4,0,5.7,10595.9,0.5,100,2003
"85","São Vicente Ferrer",2111706,"MA",393,296.1,0,0,0,0,97.8,0,100,2003
"86","São Valério da Natividade",1720499,"TO",2532,0,0,0,0,2531.7,2532.2,0,200,2003
"87","São Sebastião do Uatumã",1303957,"AM",10776,181.3,9.7,9902.7,0,0.5,65.7,625.8,100,2003
"88","São Sebastião do Tocantins",1720309,"TO",287,135.4,0,0.1,0,0,132.9,18.6,100,2003
"89","São Sebastião da Boa Vista",1507706,"PA",1636,120.3,0,1223.7,0.7,0.3,175.1,115.9,99,2003
"90","São Salvador do Tocantins",1720259,"TO",1429,0,0,0,0,1431,1429,0,200,2003
"91","São Roberto",2111672,"MA",229,229.7,0,0,0,0,0,0,100,2003
"92","São Raimundo do Doca Bezerra",2111631,"MA",284,279.6,0,4.1,0,0.3,0,0,100,2003
"93","São Raimundo das Mangabeiras",2111607,"MA",3555,0,0,0,0,3556.4,3555.6,0,200,2003
"94","São Pedro dos Crentes",2111573,"MA",987,0,0,0,0,454.5,988,0,146,2003
"95","São Pedro da Cipa",5107404,"MT",343,305.7,0,6.3,0,0,31,0,100,2003
"96","São Pedro da Água Branca",2111532,"MA",725,447.1,2.1,46.8,0,0.9,208,22.2,100,2003
"97","São Paulo de Olivença",1303908,"AM",20467,168.5,1.2,19624.1,0,0.3,86.3,587.8,99,2003
"98","São Miguel do Tocantins",1720200,"TO",400,324.4,1.3,58.6,0,0,4.2,12.8,100,2003
"99","São Miguel do Guaporé",1100320,"RO",8102,1871.3,124.8,4432.4,0,0.1,1798.2,0,100,2003
